Title,Date,Rating,Author,Summary,OCN,Pros,Cons,Verdict
Belkin Wireless Charging Vent Mount 10 W,2020-01-17,7.9,Morten Skeldal Østergaard,Trådlös mobilladdare för instrumentbrädan.,Portabelt batteri, Välbyggd," Långsam laddning
","Laddningen sker med tio watt, men det går inte särskilt snabbt. Effekten är dock fullt tillräcklig för att hålla i gång telefonen under färden. Det fina är att det hela är så bekvämt och smidigt."
Samsung Galaxy Tab S5e,2020-01-17,8.3,Morten Skeldal Østergaard,Tunn och lätt surfplatta.,Pekdator, Bra prestanda, Bixby fattar inte svenska,"Skärmen är, som alltid från Samsung, en av höjdpunkterna. Den är stor, ljusstark och har en fantastisk kontrast där vit text på svart bakgrund nästan skär i ögonen."
Kaspersky Internet Security (2020),2020-01-18,9.6,Morten Skeldal Østergaard,Omfattande säkerhetspaket för datorn.,Program appar spel, Effektivt skydd,,
TP-Link Deco P9,2020-01-20,8.4,Henrik Ræder Clausen,Meshsystem med tre routrar via Wi-Fi och elledningarna.,Router, Höga topphastigheter," Begränsade administrationsmöjligheter
","Appen fungerar som administrationscentral för hela systemet. Det ser inte ut som om det går att styra särskilt mycket, men under menyn avancerat finns det en hel rad fina funktioner, till exempel trafikprioritering, vidarebefordring av portar och mycket annat som mer avancerade nätverksanvändare tycker är kul. Jämfört med traditionella routrar i samma prisklass är dock möjligheterna begränsade."
AVG Internet Security,2020-01-20,9.4,Niklas Ernst,Skydd för tio olika typer av enheter.,Program appar spel, Hög säkerhet," Lite krångliga inställningar
","Förutom virusskyddet stoppar AVG Internet Security attacker från hackare, och det går att utföra betalningar online extra säkert – både via internetbanken och i olika webbutiker. Det går även att begränsa åtkomsten till datorns webbkamera och välja att till exempel program måste få tillstånd av dig för att komma åt kameran. Eller så stänger man bara av kameran helt och hållet."
Adata SC685 Ultra Slim 500 GB,2020-01-19,9.4,Morten Skeldal Østergaard,Liten extern ssd.,Hårddisk, Extremt snabb," Högt pris/gigabyte
","Adatas ssd har ungefär samma mått som ett kreditkort, om än en hel del tjockare. Den väger så lite att den knappt märks när man stoppar ner den i en ficka eller väska."
Huawei Nova 5T,2020-01-20,9.0,Morten Skeldal Østergaard,Mellanklasstelefon med toppegenskaper.,Telefon, Bra kamera," Inget hörlursuttag
",Batteritiden är inget annat än toppen. Batteriet räcker lätt en vanlig dag med lite fotografering och Google Mapsande. Vid dagens slut finns det ändå ström kvar för ett halvt dygn till.
Logitech G815,2020-01-19,8.4,Morten Skeldal Østergaard,Mekaniskt tangentbordet med udda finess.,Tangentbord, Bra tangenter," Liten entertangent
","Då är de fem snabbknapparna till vänster bättre. De kan programmeras och de är enkla att nå med vänsterhandens lillfinger. De sitter där de sitter eftersom detta är ett speltangentbord, och i ett sådant är tangenterna W, A, S och D viktigast. Just i det läger når lillfingret snabbtangenterna perfekt."
HP EliteDisplay E273,2020-01-19,7.9,Morten Skeldal Østergaard,En basskärm som trivs lika ensam som i dubbel uppsättning.,Skärm, Fin kvalitet för priset," Halvdan kontrast
",Vad gäller ergonomibetyget kammar HP hem full pott denna gång. Det går att justera skärmen 15 centimeter i höjdled tack vare det kraftiga aluminiumstativet. Skärmen kan vinklas in för att passa perfekt och den runda foten på stativet gör det lätt att vrida på skärmen. Den kan även vridas på högkant och med ett par E273 bredvid varandra i det läget får man en imponerande skärm.
Huawei Watch GT2 46 mm,2020-01-17,8.4,Morten Skeldal Østergaard,"Smartklocka som visar tid, mäter antal steg, tar pulsen och mycket annat.",Smartklockor, Många funktioner," Trögstartad skärm
","Klockan drivs av operativsystemet Google Wear OS, som kommunicerar med appen Huawei Health för Android eller iOS. Det är lätt att komma överens med menysystemet i GT2. Från urtavlan går det att dra vertikalt eller horisontellt för att komma åt funktioner som till exempel stegräknare, larm och meddelanden. På klockans baksida finns det en pulsmätare som kontinuerligt mäter pulsen."
Acer Swift 3 – SF314-57-710U,2020-01-19,8.4,Morten Skeldal Østergaard,Lätt bärbar för kontorsarbete.,Dator, Liten och lätt, Få portar,"Till höger nedanför tangentbordet sitter det en liten fingeravtrycksläsare. Den är minimal, men läser av fingret snabbt och loggar kvickt in i Windows. "
F-Secure Safe (Android),2020-01-19,8.5,Morten Skeldal Østergaard,Komplett säkerhetspaket till mobilen.,Program appar spel, Skyddar tre enheter," Falsk säkerhetsvarning
",Till SAFE följer det med ytterligare en app – en säker webbläsare som skyddar telefonen och dig mot webbsidor med potentiellt farligt innehåll.
Ikea Trådfri – set med gatweay,2019-12-13,6.9,Morten Skeldal Østergaard,Smarta glödlampor som kan styras vi en app i mobilen.,Diverse, Billigt, Kräver gateway (hubb),"Till en början fungerar systemet perfekt och vi kan styra de båda lamporna som ingår i startpaketet från både appen och fjärrkontrollen. Efter ett tag gick det dock inte att styra en av lamporna längre. Det visade sig bero på att någon hade stängt av lampan med dess vanliga strömbrytare. Det är bra att lamporna fungerar precis på samma sätt som vanliga lampor, men för att fjärrstyrningen ska fungera måste man tänka på att låta strömbrytarna vara på."
Alienware AW5520QF,2019-12-13,7.9,Markus Dahlberg,En OLED-skärm på 55 tum med 4K-upplösning och rekordhög kontrast.,Skärm, Enorm, Enorm,"Till och med högtalarna imponerar. De båda 14-wattarna hör till de bättre monitorhögtalare vi har testat, även om en modern ljudlimpa som tillbehör gör filmer mer rättvisa."
Lenovo Tab P10,2020-01-17,8.2,Morten Skeldal Østergaard,Välbyggd surfplatta för hela familjen.,Pekdator, Rimligt pris," Barn-appen är inte på svenska
",Skärmen är i 16:10-format vilket innebär att filmer och tv-serier visas med ett svart streck över och under bilden. Det är lite underligt när Lenovo till och med har förinstallerat Netflix-appen som strömmar film i det betydligt vanligare 16:9-formatet. 
"Lenovo Yoga Smart Tab 10,1″ 32 GB",2020-01-19,9.1,Henrik Ræder Clausen,Androidbaserad surfplatta med simkort och annorlunda stativ.,Pekdator, Genialt stativ," Medelmåttiga prestanda
","Hastighetsmätningarna visar att Yoga Smart Tab är dubbelt så snabb som sin föregångare. Det är en välkommen förbättring, men det gör inte Lenovos surfplatta till den snabbaste precis. Är det prestanda som gäller finns det bättre alternativ – men knappast några lika smarta."
Sony Xperia 5,2020-01-18,8.8,Morten Skeldal Østergaard,Lång mobiltelefon med delbar skärm.,Telefon, Bra skärm, Dåliga foton i svagt ljus,Sony tar som så ofta sina egna vägar även i andra sammanhang. Fingeravtrycksläsaren sitter till ­exempel inte i skärmen utan på ena långsidan. Det är bara att peka på den med fingret så låses telefonen upp. Det är inte alls dumt. Tekniken är snabb och det känns naturligt att lägga fingret där.
Dynabook Portégé X30-F,2020-01-19,8.6,Markus Dahlberg,Lättviktsdator för hemmakontoret.,Dator, Lätt och smidig, Svajig skärm,"X30-F är ingen racer, men den känns snabb i vardagen och allt som hör kontorsarbete till flyter på utan problem. Den känns till och med kvick mellan varven, och det går snabbt att sätta i gång att jobba."
