Title,Date,Rating,Author,Summary,OCN,Pros,Cons,Verdict
PocketBook Touch Lux 4,2020-05-05,7.9,Morten Skeldal Østergaard,Smidig e-boksläsare.,Pekdator, Bra skärm," Ingen butik
","Touch Lux 4 kommer ihåg hur långt man har läst i varje bok. Informationen sparas på internet, så att det går att läsa vidare i PocketBooks app för mobilen eller surfplattan."
Ring Video Doorbell 3,2020-08-05,9.5,Henrik Ræder Clausen,Se vem som ringer på dörren.,Diverse, Genomtänkt konstruktion," På engelska
","Det ingår flera beslag, skruvar och ett miniverktyg för att montera dörrklockan. Det följer även med ett litet vattenpass, två fronter till dörrklockan och till och med en tegelborr. Med beslagen kan kameran vinklas och det finns säkerhetsskruvar som gör att utomstående inte kan ta bort dörrklockans batteri hur som helst."
OnePlus 8,2020-08-05,8.8,Morten Skeldal Østergaard,Utmärkt telefon strax under flaggskeppen,Telefon, Kamera och skärm i toppklass," Ej trådlös laddning
",Fingeravtrycksläsaren är inbyggd i skärmen och den lyser precis som tidigare upp. Tekniken fungerar oklanderligt och inloggning sker snabbt.
Bang & Olufsen Beoplay E8 Sport,2020-08-08,9.3,Morten Skeldal Østergaard,Förtjusande hörlursproppar med stor prislapp.,Hörlurar och headset, Riktigt hög ljudkvalitet," Dyra
","E8 Sport är byggda för att tåla lite tuffare förhållanden. De kan ligga på en meters djup i en halvtimme. Vi provade det genom att fylla ett badkar och släppa ner hörlurarna i vattnet. Efter en halvtimme tog vi upp dem, och de fungerade som om ingenting hade hänt."
Sony Xperia L4,2020-08-06,6.6,Morten Skeldal Østergaard,Skön mobil till lågpris,Telefon, Lätt att hålla i, Kort batteritid,"Huvudkameran på baksidan kan ta utmärkta bilder i dagsljus, men som så ofta blir det allt mer brus i bilderna ju mörkare det blir. Det finns tre linser på baksidan, bland annat en vidvinkel. Det finns fler möjligheter för den fotointresserade att experimentera med Xperia L4 än i de flesta andra telefoner i samma prisklass."
Synology DiskStation DS220+,2020-08-08,9.1,Henrik Ræder Clausen,Superb nätverkshårddisk med många funktioner.,Nätverkshårddisk (NAS), Hög mekanisk kvalitet,,"Den som fotograferar mycket lär uppskatta bildprogrammet Moments. Bilderna läggs i en särskild mapp, varpå de sorteras efter vanliga kriterier som datum och plats, men också efter motiven i bilderna! Efter några frågor om vilka personer som är med i bilderna kan de grupperas så att det är lätt att hitta alla bilder med en viss person. Det går att göra på motsvarande sätt för platser och ämnen, till exempel hundar eller bilar. Funktionen är så smart att de timmar det tar att analysera bilderna är en väl värd investering. Vi gillar också hur enkelt det är att dela bildalbum med andra. Det enda vi saknar är att det inte går att göra en automatisk bildvisning av ett album."
Tidal Premium,2020-08-10,9.6,Morten Skeldal Østergaard,60 miljoner låtar i mobilen,Program appar spel, Häpnadsväckande musikurval,,"Den gamla goda tiden är sällan så attraktiv som vi gärna gör gällande, men faktum är att när det kommer till musik var det bättre förr. En cd-skiva ger högre ljudkvalitet än de flesta av dagens strömningstjänster. För att göra musikfilerna mindre sparas de nämligen i lägre kvalitet för att tjänsterna även ska fungera med sämre internetanslutningar. Tidal är inget undantag, men de erbjuder tjänsten Tidal HiFi för 279 kronor i månaden. Då spelas musiken i cd-kvalitet eller till och med ännu bättre. Vid vanlig lyssning är det ingen hörbar skillnaden mellan de olika abonnemangen, men den som kostar på sig lite dyrare hörlurar eller högtalare kan absolut märka skillnad. "
Sony HT-G700,2020-08-11,8.2,Markus Dahlberg,Tv-högtalare med baslåda,Högtalare, Förstärker dialog i film och tv," Förvränger viss musik
","Systemet stödjer även Bluetooth, vilket är lite udda. Det är alltså ingen match att ansluta mobilen till HT-G700 och spela musik. Det låter ofta helt okej, men inte alltid. Ibland får inte signalprocessorerna till det och musiken låter underlig. Det verkar som om vissa låtar är svårare för systemet att hantera än andra. Detta fenomen är inte lika tydligt med tv-ljudet. Bluetooth-anslutningen är egentligen till för trådlös anslutning till vissa av Sonys tv-apparater."
Xiaomi Mi 10,2020-05-27,7.4,Markus Dahlberg,Mobilen som nästan är i topp.,Telefon, Häftiga prestanda," För dyr
",Något hörlursuttag får vi inte och Xiaomi skickar inte heller med några hörlurar. Det följer med en kort adaptersladd till usb-porten för den som vill använda trådade hörlurar. En nödlösning.
Macrium Reflect 7 Home Edition,2020-08-08,6.2,Morten Skeldal Østergaard,Kraftfullt backupprogram,Program appar spel, Många avancerade backupfunktioner, Inte så användarvänligt,Det finns många smarta funktioner i Reflect 7. Det går till exempel att öppna kopian av en enhet och kopiera enskilda filer och mappar som om kopian vore en vanlig enhet i Windows. Funktionen Image Guardian skyddar alla säkerhetskopior från att utsättas för utpressningsvirus. Är backupen färsk är det alltså enkelt att alltid återställa datorn om den smittas av någon form av virus.
Skype (2020),2020-06-17,9.3,Morten Skeldal Østergaard,Bästa tjänsten för videosamtal.,Program appar spel, Finns på alla plattformar,,"I en dator går det förstås att använda Skype via webbläsaren, men eftersom tjänsten numera ägs och utvecklas vidare av Microsoft finns Skype även som en medföljande app i Windows. Kopplingen till Microsoft innebär också att det går att logga in på Skype med samma konto som används till Windows och Office 365."
Huawei MateBook X Pro (2020),2020-05-28,8.9,Markus Dahlberg,Sinnebilden för en modern bärbar pc.,Dator, Snygg och smidig," Ingen Wi-Fi 6
",Bra är också att Huawei håller sin dator fri från allehanda ointressanta demoprogram.
Philips 439P9H/00,2020-05-29,9.6,Morten Skeldal Østergaard,Superbred bildskärm som ersätter två.,Skärm, Fantastiskt arbetsredskap," För bred ibland
","Att detta är en kontorsskärm understryks av de anslutningsmöjligheter som finns på baksidan. Här finns en komplett dockningsstation för att ansluta allt från tangentbord och mus till ethernet. Genom att ansluta skärmen till en dator med en usb c-kabel  går det sedan att ansluta alla datortillbehör till skärmen i stället för till datorn. Alla uttagen pekar rakt nedåt på baksidan, så man slipper en massa sladdar som står rakt ut. Det finns för övrigt till och med en inbyggd webbkamera i skärmen, så datorn kan verkligen stoppas undan."
Targus Blue Trace Wireless Mouse AMW50EU,2020-05-29,7.8,Morten Skeldal Østergaard,Liten resemus för den bärbara datorn.,Mus, Billig," Nästan för liten
","Här finns bara det mest basala funktionerna, det vill säga vänster och höger musknapp, ett rullhjul och en liten knapp för att ändra pekarens hastighet. Musen fungerar bra och gör det enklare att styra pekaren med precision än vad som är möjligt med en pekplatta."
Trust Verto,2020-06-04,7.6,Morten Skeldal Østergaard,Billig ergonomisk mus.,Mus, Billig," Få funktioner
",Det följer inte med någon manual. Det behövs å andra sidan inte eftersom Verto inte har några specialfunktioner. Den har bara de knappar som alltid finns på en vanlig mus.
TP-Link Deco X60 AX3000,2020-06-15,9.5,Henrik Ræder Clausen,Mesh-system med Wi-Fi 6.,Router, Enkel installation," Få inställningar
",De tre routrarna är enkelt och elegant utformade i vitt med var sin diskret statuslampa. Det gör det enkelt att placera ut routrarna runt om i hemmet utan att det nämnvärt stör inredningen i övrigt. De behöver dock anslutas till var sitt eluttag.
Huawei Watch GT 2e,2020-06-04,8.4,Morten Skeldal Østergaard,Tuff träningsklocka med lång batteritid.,Smartklockor, Bra träningsklocka," Ingen koppling med Endomondo
","Både som vanligt armbandsur och som hjälpmedel för träningen fungerar Huawei Watch GT 2e som den ska. Det går att välja mellan en rad urtavlor som kan visa allehanda information. Här finns stilrena urtavlor och mer fantasifulla som är överlastade med information, till exempel puls, datum, höjd över havet, batteristatus eller väder."
HyperX Cloud Flight S,2020-06-15,9.3,Morten Skeldal Østergaard,Bra headset som på alla sätt är trådlöst.,Hörlurar och headset, Bra och klart ljud," Stor usb-adapter
",Ljudet är bra och välbalanserat. Det är inte något för den som vill ha betoning på tung bas. Här är ljudet mer neutralt med klart och tydligt ljud. Vid röstsamtal är detta extra märkbart och båda parter hör tydligt vad den andre säger. Det innebär att även mikrofonen gör sitt jobb. Den kan för övrigt tas loss när den inte behövs.
Facebook Messenger,2020-06-04,8.3,Morten Skeldal Østergaard,Videochatta med Facebookvännerna.,Program appar spel, Nästan alla har ett konto,,Messenger fungerar kors och tvärs över olika plattformar och det går bra att videochatta från mobilen med någon som sitter framför datorn. Den som gillar att skoja till det kan lägga på olika mer eller mindre fantasifulla filter på videobilden. Varför inte ringa någon på midsommarafton med en virtuell blomsterkrans i håret?
MSI GF75 Thin 10SCSR,2020-06-15,8.8,Morten Skeldal Østergaard,Snabb bärbar som klarar allt.,Dator, Snabb processor," Kan låta ganska mycket
",Musplattan är inte av högsta kvalitet. De två musknapparna är integrerade i plattans nedre del. De aktiveras när man trycker där. De är tyvärr för tröga och efter mycket klickande är det lätt att det känns i fingrarna. Dessutom rasslar det svagt om musplattan när den trycks ned.
Bang och Olufsen Beosound A1 2nd gen,2020-06-25,8.4,Morten Skeldal Østergaard,Imponerande ljud från liten högtalare.,Högtalare, Utsökt ljud," Krånglig digital assistent
",Det viktigaste kravet uppfylls med råge – ljudet. All sång blir klar och tydlig och basen lägger en solid matta för musiken att stå på. Det är svårt att förstå hur det går att skapa ett så pass stort ljud ur en så här liten högtalare. Den som tycker att det är trist med stereoljud från en högtalare kan köpa en A1 2nd gen till för att skapa en liten stereoanläggning.
AVM FRITZ!Repeater 2400,2020-06-30,6.8,Henrik Ræder Clausen,Stabil nätverksförlängare.,Nätverkstillbehör, Enkelt installation," Låga hastigheter
","Installationen är enklast tänkbara. Den stora röda knappen på framsidan aktiverar WPS. Ett tryck på motsvarande knapp på routern och de två är sammankopplade inom någon minut. Enheterna får automatiskt samma nätverksnamn och lösenord som nätverket de ansluts till och därefter framstår alltihop som ett enda nätverk. Nätverket är till synes oförändrat efter installationen, det bara når längre bort."
Ashampoo Backup Pro 14,2020-06-24,6.7,Morten Skeldal Østergaard,Smidiga backuper.,Program appar spel, På svenska," Långsamt
",Det har faktiskt blivit lite för mycket av det goda. Programmet tar oss i handen under varje steg i backupprocessen. Hela säkerhetskopieringen tar längre tid än vad som egentligen är nödvändigt eftersom programmet visar förklarande texter hela vägen in i mål. Själva backupen är också långsammare än i andra program. För den som har gott om tid är detta inget större problem. När säkerhetskopieringen väl är i gång sköter den sig själv och man kan ägna sig åt annat. Det är också bra att det går lite snabbare att återskapa filer än att säkerhetskopiera dem.
Logitech G560,2019-12-14,9.0,Morten Skeldal Østergaard,Ljudpaket med en baslåda och två satellithögtalare.,Högtalare, Stort ljud med fin bas,,"De två satelliterna har inbyggt ljus som kan ändra färg i takt med musiken. Det går till och med att få ljuset att härma färgerna som visas på skärmen i ett spel eller en film, vilket ger högtalarna en funktion som liknar den Ambilight-funktion som Philips har i några av sina tv-apparater, där väggen bakom tv:n blir upplyst med samma färger som på skärmen  – allt för att förhöja upplevelsen. Ljushowen kan som tur är stängas av med det tillhörande datorprogrammet, som innehåller många inställningar. Det går att få ljus och ljud att fungera precis som man vill ha det."
LIFX A60,2020-01-16,7.8,Morten Skeldal Østergaard,Smarta lampor med annorlunda form,Diverse, Lamporna reagerar snabbt, Rörig app,Längst ner i appen finns det ett antal erbjudanden om att köpa flera lampor. Appen skickar också ideliga meddelanden om nya lampor. Allt detta borde vara undangömt i undermenyer eller ännu hellre inte vara med alls. 
Evernote,2019-11-07,8.5,Morten Skeldal Østergaard,"Ett klassiskt verktyg för att anteckna på alla plattformar, från mobilen till webbläsaren i datorn.",Program appar spel, Många funktioner," Begränsad gratisversion
","Evernote för Windows finns som en app att hämta från Windows Store. Eftersom den är rätt avskalad är det egentligen bättre att använda Evernote i webbläsaren, så till vida du inte behöver nå anteckningarna när datorn inte är ansluten till internet."
Microsoft OneNote,2019-11-19,9.0,Morten Skeldal Østergaard,Microsofts program och tjänst för anteckningar av alla möjliga slag.,Program appar spel, Fina funktioner," Problem med webbsidesurklipp
","OneNote finns även som webbläsartillägg för bland annat Google Chrome, Firefox och Edge. Tillägget syns som en liten knapp i webbläsarens verktygsfält för att det ska vara enkelt att spara sådant på internet som är intressant. Antingen sparas hela sidan eller bara den råa texten från webbsidan. Det finns även en urklippsfunktion för att spara en del av en webbsida."
Suunto 5,2019-10-16,5.2,Morten Skeldal Østergaard,"En stor och funktionsrik träningsklocka, främst för större handleder.",Diverse, Lång batteritid, Ljussvag,"Stegräknaren håller inte bara koll på hur många steg man tar under en dag, den kan även visa ett stapel­diagram med antalet steg under den gångna veckan."
Sandberg Wireless Charger Pad 15W,2019-10-03,9.3,Morten Skeldal Østergaard,Tygklädd laddplatta för mobiltelefoner och andra enheter som stödjer standarden QI.,Diverse, Bra byggkvalitet,,"På sidan finns det en liten lysdiod som lyser när en enhet laddas. På motstående sida ansluts usb c-kabeln. Det är modernt och bra, särskilt som allt fler nya telefoner laddas via usb c. Värt att notera är att det inte följer med någon strömadapter. Tanken är väl att man ska använda laddaren som följde med till telefonen. Annars säljer Sandberg laddare av alla möjliga slag."
Ifrogz Airtime Pro,2019-10-02,8.1,Markus Dahlberg,Trådlösa öronproppar med laddningsetui och ovanlig garanti.,Hörlurar och headset, Bra ljudkvalitet," Instabil styrning
","Det finns inga fysiska knappar. I stället räcker det att peta till på vilken som av lurarna för att styra musiken. Med varma fingrar inomhus fungerar det oftast riktigt bra. Ett tryck stoppar musiken. Ett till startar den. Två tryck byter låt, och så vidare. Det svåra är om man är för snabb och hamnar lite snett med fingret och kanske ofrivilligt stoppar musiken när man bara ville byta låta. Här blir det lätt en del tryckande för att hamna rätt. Utomhus under den kyliga årstid vi befinner oss i när detta skrivs är den här pekstyrningen inte optimal. Styrningen blir något av en chansning med kalla fingrar eftersom lurarna oftast inte reagerar alls."
HP Chromebook 14-db0005no,2019-10-02,8.3,Morten Skeldal Østergaard,"En liten dator som gör sitt jobb, men bara om du klarar dig utan Windows.",Dator, Perfekt pris," Billigt tangentbord
",Chromebook 14 är med andra ord inte någon perfekt dator. Men en titt på prislappen förlåter det mesta. Det är i princip omöjligt att hitta en ny bärbar pc som kostar så här lite. Helt klart ger Chromebook 14 mycket för pengarna.
Skullcandy Crusher ANC,2019-09-29,9.3,Markus Dahlberg,Ett par på flera sätt unika trådlösa omslutande hörlurar.,Hörlurar och headset, Sköna," Svettigt dyra
","Vänta, det finns fler funktioner. Crusher ANC stödjer även digitala assistenter. Det är bara att hålla rätt knapp intryckt och be Siri eller Googleassistenten om hjälp. Det funkar oklanderligt."
Microsoft Surface Laptop 2,2019-09-29,7.8,Markus Dahlberg,En tunn och lätt bärbar pc som nu har kommit i en uppdaterad version.,Dator, Hög byggkvalitet, Känns gammaldags,"I övrigt finns det mycket att tycka om här. Musplattan är den kanske bästa vi har testat. Ansiktsinloggningen i Windows sker så blixtsnabbt att det inte gör någonting att det saknas en fingeravtrycksläsare. Den höga byggkvaliteten känns direkt när man tar tag i datorn och framför allt när man öppnar den. Locket kan öppnas med en hand (en underskattad finess) och datorn vaknar omedelbart. Tangenterna ger perfekt motstånd och de har en matt yta som är underbar att känna när man skriver. Området runt tangenterna och musplattan är klätt i Alcantara, som är ett syntetiskt fibermaterial som är aningen strävt. Det gör att händerna ligger stadigt utan att glida när man skriver."
Microsoft Arc Mouse,2019-09-20,8.6,Markus Dahlberg,En mobil Bluetooth-mus som kan fällas ut och bli helt platt. Innehåller många smarta lösningar.,Mus, Bra passform,,"Hur konstruktionen ser ut under det gummiliknande plastskalet vet vi inte, men om man ska döma av originalet bör den hålla under lång tid. Till det här testet plockade vi fram musen från 2009 och med nya batterier fungerar den alldeles utmärkt. Det enda som tycks ha hänt under åren är att plastmaterialet i den har avgivit något ämne som gjort den klibbig. Efter att ha skrapat bort klibbet och tvättat den känns den normal igen."
Apple Airpods (2019),2019-08-03,9.4,Markus Dahlberg,"Apples trådlösa öronproppar sätter standarden för hela industrin. Många är kallade, men ingen slår Apples design och funktionalitet.",Hörlurar och headset, Hög byggkvalitet,,De båda Airpodsen är också oöverträffat små och smidiga. De passar vilka öron som helst och det är extremt lätta att få på plats. Väl i örat glömmer man snart bort dem och oroligt nog sitter de kvar vad man än gör. Utformningen av öronsnäckorna är unik och i princip densamma som för Apples trådade hörlurar.
OnePlus 7,2019-08-23,7.8,Morten Skeldal Østergaard,OnePlus 7 är en mellanklassmobil med vissa frågetecken.,Telefon, Rätt pris," Överkänslig skärm
",Fingeravtrycksläsaren sitter gömd i skärmen. Ett ritat fingeravtryck visar var man ska trycka och det lyser upp väldigt starkt när sensorn har känt av fingret. Även om den här tekniken inte är lika snabb som en enskild fingeravtrycksläsare går det inte långsamt nog för att vara störande.
Pixum,2019-11-07,9.2,Morten Skeldal Østergaard,Jämförande test av fotokalendrar,Diverse, Gott om möjligheter, Stort program,"På skärmens vänstra sida visas bilderna som går att dra och släppa på den aktuella kalendersidan. På samma sida som bilderna kan du även välja bakgrunder och mallar som gör att du kan ha flera bilder på samma sida. På skärmens högra sida kan du klicka på de tolv månaderna och framsidan för att navigera mellan dem. Om du tycker att några bilder hör hemma i en speciell månad, kan du flytta mellan sidorna så att både bilder och layout följer med."
Logitech G MX518,2019-05-24,7.4,Markus Dahlberg,"Logitech uppdaterar en gammal klassiker, men bara under skalet. Allt annat är exakt som i originalet från 2005.",Mus, Perfekt passform," Originalet duger fortfarande
","Under skalet sitter Logitechs nya sensor Hero 16k som förstås är mycket känsligare än originalet. Skillnaden märks, men inte så mycket som man kan tro."
Samsung Galaxy S10+,2019-08-12,9.6,Henrik Ræder Clausen,Android-telefon i toppklass med en stor skärm och fem kameror.,Telefon, Fantastisk skärm,,"På baksidan sitter det tre olika kameror varav två har vidvinkel- respektive teleobjektiv, som kameraappen automatiskt skiftar mellan. Kamerorna på 12 och 16 megapixel ger fina bilder med naturliga färger och hög upplösning i detaljerna. Färgerna kan tyckas vara aningen bleka, men det beror faktiskt på att de är mer naturtrogna än i andra kameror. Undantaget vid dåligt ljus kan Galaxy S10+ ersätta en riktig kamera."
Philips 276E9QJAB,2019-05-10,8.5,Henrik Ræder Clausen,27-tummare med inbyggda högtalare.,Skärm, Fina färger, Dåliga högtalare,"Till en början är inte färgerna något att yvas över. De är okej med en dragning åt det kalla hållet. Här utnyttjar 276E9QJAB ett litet trick som är dolt bakom logotypen: en sensor anpassar färgbalansen efter det aktuella spelet eller programmet som visas på skärmen. Det må låta underligt, men det fungerar faktiskt riktigt bra och färgerna känns rätt i alla situationer."
Dell XPS 13 9380 (2019),2019-05-09,9.0,Markus Dahlberg,Årets version av Dells framgångsrika 13-tummare som fortfarande håller sin positionen som marknadens ledande ultrabook.,Dator, Snabb och nätt," Dyr
",Det finns mycket att tycka om i XPS 13. Den i strömbrytaren inbyggda fingeravtrycksläsaren är ett exempel. Ett annat det behändiga formatet och det faktum att detta är en ruskigt snabb dator som är enkel att ta med överallt och i alla sammanhang. Vi gillar även programmet Power Manager där det går att ställa in hur värmen ska hanteras. Här finns val som Tyst och Ultraprestanda och som påverkar hur fläktarna jobbar – och därmed hur mycket datorn låter. Det är faktiskt inte alls så dumt.
Canon Pixma TS6250,2019-06-04,8.6,Morten Skeldal Østergaard,"En liten multifunktionsskrivare för att skriva ut, skanna in och kopiera.",Skrivare, Enkel att använda," Klumpig design
","De tre grundläggande funktionerna för att skriva ut, skanna in och kopiera tar upp det mesta av utrymmet på den tryckkänsliga skärmen. Menyerna är välgjorda och det är enkelt att hitta rätt funktioner för att till exempel välja mellan färg eller svartvitt. Ett stort plus i sammanhanget är att menyerna är på svenska."
Acer Chromebook Spin 13,2019-06-04,8.8,Henrik Ræder Clausen,En kombinerad bärbar dator och surfplatta med ChromeOS.,Dator, Smart dubbeldesign," Få anslutningar
","Alla Windowsprogram kan vi förstås glömma direkt. De fungerar inte alls här. Däremot har Google och Acer lyckats med konststycket att få Android-appar att fungera i Chrome OS. Därmed finns det ett rikt urval av ­allehanda appar. Det är visserligen aningen udda att se appar köras i fönster, men det fungerar överlag bra. "
Urbanista Stockholm,2019-05-09,8.2,Markus Dahlberg,Trådlösa hörlurar i form av öronsnäckor i trendiga färger och minimalistisk design.,Hörlurar och headset," Snygga, lätta och smidiga"," Halvdan ljudkvalitet
","Ett större problem dock är att lurarna börjar kännas obekväma efter tid i öronen. De trycker mot ytterörat och det blir i längden inte skönt. Återigen jämfört med AirPods är Stockholm lite större på alla ledder: De är 1,7 millimeter bredare, 0,4 millimeter högre och 0,8 millimeter tjockare. Det kan låta lite, men i mina öron märks skillnaden."
Dell S2719DC,2019-05-14,8.8,Markus Dahlberg,En ultratunn bildskärm med usb c-ingång och upplösningen 2560 x 1440 pixel.,Skärm, Otrolig bildkvalitet, Dyr,"Förutom alla redan beskrivna fördelar är dessutom bilden otroligt bra, kanske en av de bästa vi har testat. Skärmen är ljusstark och alla färger vibrerar av liv. S2719DC stödjer FreeSync som förbättrar grafiken i spel och även om svarstiderna är måttliga på papperet hänger skärmen med utan synbara problem."
Plantronics BackBeat GO 810,2019-05-16,6.9,Markus Dahlberg,Stramt formgivna hörlurar med aktiv brusreducering.,Hörlurar och headset, Brusreducering, Platt ljud,"Dumt nog använder GO 810 inte samma app som PRO 2, å andra sidan är den här appen mer användbar. Här finns alla inställningar tillgängliga tillsammans med manualen. Det är dock synd att det inte går att fintrimma ljudet mer. Det skulle behövas för att få fart på hörlurarna."
Huawei P30 Pro,2019-05-22,9.6,Morten Skeldal Østergaard,Huawei P30 Pro är en av de bästa mobiltelefonerna hittills. Kameran är helt i särklass.,Telefon, Snabb, Seg fingeravtrycksläsare,"En fördel med stora telefoner är att det får plats stora batterier i dem, och Huawei P30 Pro är inget undantag. Med en kapacitet på 4 200 milliamperetimmar finns det ström nog för en hel dags aktiv användning av telefonen. Även vid flitigt bruk av kameran, mycket surfande och gps-positionering har batteriet aldrig varit i närheten av att vara tomt i slutet av dagen. Dessutom går det ovanligt snabbt att ladda det med den medföljande laddaren. En detalj i sammanhanget är att P30 Pro stödjer trådlös laddning och att den själv kan agera som laddplatta för andra enheter."
BenQ BL2420PT,2019-06-26,9.2,Henrik Ræder Clausen,Bildskärm med hög upplösning och pivotfunktion.,Skärm, Mycket hög färgkvalitet,,"BenQ utlovar att BL2420PT klarar två professionella färgstandarder och att den är finkalibrerad på fabriken. Det håller – nästan. Färgerna är mycket riktigt utmärkta, men de är aningen för mättade. Detta går förstås att justera manuellt."
Huawei Matebook 13,2019-04-24,9.3,Markus Dahlberg,En modern bärbar pc med en kraftfull processor och stor ssd. Bra integrering med Huaweis mobiltelefoner.,Dator, Välbyggd och smidig," Blank skärm
","En smidig funktion är Huawei Share som används för enkel filöverföring mellan exempelvis en av Huaweis nyare mobiltelefoner och datorn. Tekniken använder NFC och det räcker att med mobilen nudda ytan till höger om musplattan för att en bild ska överföras till datorn. Dumt nog hamnar bilderna inte i mappen Bilder, vilket vore naturligt, utan i mappen HwShare i mappen Dokument. Därmed dyker de inte heller upp i Windowsappen Foton. För att se bilderna där måste appen ställas in att innehållet i mappen HwShare ska visas. Aldrig får man vara riktigt glad."
Jabra Move Style Edition,2019-05-30,7.1,Markus Dahlberg,Nygamla utanpå-örat-hörlurar med nya färger och längre batteritid.,Hörlurar och headset, Lätta och tåliga, Ingen app,På vänster kåpa finns det en tredelad knapp för att justera ljudvolym och för att hantera samtal. Knappen är ganska smal och det är svårt att snabbt hitta rätt till volymreglagen. På höger kåpa sitter strömbrytaren som även dubblerar som parningsknapp. Här finns även micro-usb-porten för laddning.
HyperX QuadCast,2019-06-03,9.5,Henrik Ræder Clausen,Bordsmikrofon med dämpande upphängning och variabel inspelningsriktning.,Hörlurar och headset, Fokus på rösten,,"Det första intrycket av ljudkvaliteten imponerar. Röster spelas in klart och tydligt och den varierbara inspelningsriktningen fungerar överraskande bra. Spelas bara en röst in dämpas omgivande ljud. Spelas ett samtal mellan två personer in blir båda rösterna mycket tydliga, medan störande ljud från omgivningen tonas ned."
Samsung Galaxy A20e,2019-06-09,6.5,Henrik Ræder Clausen,Androidbaserad mobiltelefon med dubbla simkort och tre kameror.,Telefon, Dubbla simkort, För klen för tunga appar,"Våra prestandamätningar visar att Galaxy A20e hamnar i den långsammaste femtedelen av alla mobiltelefoner. Den är stark nog för att hantera YouTube, men större appar känns sega. Den lägre prestandan märks främst i 3d-spel som blir i det närmaste ospelbara eftersom telefonen inte hänger med."
Netgear Nighthawk Pro Gaming XR500,2019-06-08,8.6,Henrik Ræder Clausen,Trådlös spelrouter med WiFi 5 och två usb 3-portar.,Router, Lång räckvidd,,Hastighetsmässigt finns det inte heller något att klaga på. Vi mäter upp 652 megabit i sekunden till ethernetanslutna enheter och 260 dito i det trådlösa nätverket. Därtill kommer att routern har prestanda nog för att hålla höga hastigheter på alla frekvenser samtidigt. Räckvidden är dessutom bland de bästa i klassen och fullt tillräcklig för stora bostäder. Vi får bra och stabil täckning i utrymmen som andra routrar inte klarar.
Asus TUF Gaming FX505,2019-06-10,9.5,Henrik Ræder Clausen,Robust bärbar speldator med vasst grafikkort och full hd-skärm.,Dator, Välbyggd," För liten ssd
","Processorns topphastighet är moderata 2,2 gigahertz, men den har å andra sidan sex kärnor med så kallad Hyperthreading (flera processorer kan köras samtidigt). Det passar program och spel som kan utnyttja flera processorkärnor, men innebär en begränsning för de som inte kan det. En fördel är i alla fall att datorn håller ett jämt tempo även när många program körs samtidigt."
Google Nest Hub,2019-06-03,9.3,Morten Skeldal Østergaard,Med Google Nest Hub blir det lättare att styra det digitala hemmet.,Diverse, Rimligt pris,,En bra säkerhetsfiness för att slippa känna sig avlyssnad av Google Nest Hub hela tiden är den lilla avstängningsknappen på baksidan för mikrofonen.
Toshiba Portégé X30T-E,2019-06-10,7.2,Markus Dahlberg,En 2 i 1-dator med lång batteritid och ovanligheter som vga-port och ethernetport.,Dator, Välbyggd, Stor och bylsig,"Toshiba får dock plus i kanten för att datorn är så välbyggd och stadig. Det märks inte minst på gångjärnen som håller ihop skärmen med tangentbordet. Det är riktigt rejäla och ser ut att hålla hur länge som helst. Det är dessutom mycket enkelt att koppla isär och ihop de båda delarna. Här märks det att detta egentligen är en arbetshäst för professionellt bruk, och inte en slick hemdator. Det är rejält och lite gammaldags."
Adata PV120 Power Bank,2019-06-11,8.8,Henrik Ræder Clausen,Batteripaket i fickstorlek med dubbla usb-portar.,Portabelt batteri, Praktisk storlek,,"De två usb-uttagen är märkta med 2,4 respektive 1 ampere. I realiteten är dock inte skillnaden så stor eftersom vi bara fick ut runt 1,5 ampere ur det starkare uttaget. Strömmen räcker i alla fall till för effektiv laddning av två enheter samtidigt. "
Alienware Area-51m,2019-06-12,10.0,Markus Dahlberg,En fullsmetad bärbar stationär pc av sällan skådat slag.,Dator, Otrolig maskin," Hisnande dyr
","Att jobba med Area-51m är i alla lägen en befrielse. Word har startat i samma ögonblick som dubbelklicket på programikonen är avslutat. Vi har ännu inte hittat något spel som får Area-51m att tveka det minsta. Det går till och med snabbt att uppdatera Windows. Medan andra datorer kämpar i timtal för att uppdateras till version 1903 av Windows 10, är det överstökat på en kvart. Vi renderar 3d-grafik på ett par timmar medan vår två år gamla speldator med topprestanda då, behöver en natt på sig. Det är som att jämföra Koenigsegg med Daf. Eller Saab Gripen med bröderna Wright."
Asus ZenBook UX433FA,2019-06-26,8.6,Henrik Ræder Clausen,Ultraportabel dator med slimmat metallchassi.,Dator, Stor skärm i liten pc," Få anslutningar
","ZenBook är inte en av de snabbare datorerna vi har testet, även om den klarar allt i vardagen utan att krokna. Mätvärdena är klart godkända och det är framför allt den snabba ssd:n, med en läshastighet på 1,7 gigabyte i sekunden, som drar upp testvärdena. Det integrerade grafikkortet däremot drar ner prestandamätningarna. För en så här pass kompakt dator är  slutresultat trots allt utmärkt."
